0.png	 9-4=?
122.png	 9+7=?
123.png	 5+7=?
124.png	 0-1=?
125.png	 1+8=?
126.png	 6x0=?
127.png	 7-9=?
128.png	 5+5=?
129.png	 1+4=?
130.png	 3+4=?
131.png	 9x3=?
132.png	 8+1=?
133.png	 2-6=?
134.png	 4x4=?
135.png	 0-4=?
136.png	 2+7=?
137.png	 6-5=?
138.png	 4+6=?
139.png	 7+0=?
140.png	 0x6=?
141.png	 3+5=?
142.png	 3-1=?
143.png	 7-1=?
144.png	 3x3=?
145.png	 0+0=?
146.png	 2+0=?
147.png	 4+6=?
148.png	 0-2=?
149.png	 7+5=?
150.png	 0-2=?
151.png	 1x2=?
152.png	 4-2=?
153.png	 3x5=?
154.png	 3+8=?
155.png	 3x5=?
156.png	 5-4=?
157.png	 6-6=?
158.png	 5-9=?
159.png	 1x8=?
160.png	 3+3=?
161.png	 4-8=?
162.png	 3x6=?
163.png	 7x9=?
164.png	 9x9=?
165.png	 6x9=?
166.png	 3+5=?
167.png	 7-8=?
168.png	 8-1=?
169.png	 8x1=?
170.png	 3-4=?
171.png	 5x5=?
172.png	 1+0=?
173.png	 6x3=?
174.png	 4x0=?
175.png	 1x8=?
176.png	 0+7=?
177.png	 8x1=?
178.png	 5x2=?
179.png	 9+1=?
180.png	 4-1=?
181.png	 5x4=?
182.png	 1+5=?
183.png	 6+2=?
184.png	 9+2=?
185.png	 2+5=?
186.png	 8x1=?
187.png	 7-5=?
188.png	 8x3=?
189.png	 7+2=?
190.png	 8+9=?
191.png	 3-3=?
192.png	 3+6=?
193.png	 7-1=?
194.png	 7x1=?
195.png	 0-3=?
196.png	 6x4=?
197.png	 5x6=?
198.png	 4x7=?
199.png	 3-1=?
200.png	 1-8=?
201.png	 6-3=?
202.png	 9x6=?
203.png	 8x4=?
204.png	 6-4=?
205.png	 9-5=?
206.png	 4-6=?
207.png	 1-1=?
208.png	 6x6=?
209.png	 6+4=?
210.png	 4-2=?
211.png	 1-0=?
212.png	 3-6=?
213.png	 4x6=?
214.png	 5x2=?
215.png	 3x3=?
216.png	 0+2=?
217.png	 6-8=?
218.png	 4-3=?
219.png	 8x3=?
220.png	 0x6=?
221.png	 3x3=?
222.png	 5x8=?
223.png	 4x3=?
224.png	 7-8=?
225.png	 6x2=?
226.png	 0+0=?
227.png	 8+7=?
228.png	 5x4=?
229.png	 0-1=?
230.png	 2x4=?
231.png	 4x7=?
232.png	 7x4=?
233.png	 7-8=?
234.png	 4+3=?
235.png	 4+3=?
236.png	 6x6=?
237.png	 0x9=?
238.png	 5+7=?
239.png	 2x9=?
240.png	 7+2=?
241.png	 3+3=?
242.png	 8-1=?
243.png	 1+1=?
244.png	 4+7=?
245.png	 0-5=?
246.png	 1-6=?
247.png	 6-5=?
248.png	 4+2=?
249.png	 1+3=?
250.png	 8+9=?
251.png	 3+8=?
252.png	 0-4=?
253.png	 8+2=?
254.png	 0-0=?
255.png	 3x9=?
256.png	 0+2=?
257.png	 4+6=?
258.png	 0x5=?
259.png	 8-1=?
260.png	 4x4=?
261.png	 7x8=?
262.png	 6+7=?
263.png	 5-8=?
264.png	 5+9=?
265.png	 7x8=?
266.png	 4x0=?
267.png	 9-0=?
268.png	 6x4=?
269.png	 9+4=?
270.png	 0+1=?
271.png	 4-3=?
272.png	 2x4=?
273.png	 8+2=?
274.png	 6+8=?
275.png	 0-1=?
276.png	 2+1=?
277.png	 4-9=?
278.png	 4+9=?
279.png	 9-1=?
280.png	 0-2=?
281.png	 0x6=?
282.png	 2+1=?
283.png	 6-8=?
284.png	 6+8=?
285.png	 3-9=?
286.png	 4+6=?
287.png	 3x4=?
288.png	 8x2=?
289.png	 3x5=?
290.png	 4x0=?
291.png	 2+2=?
292.png	 2-8=?
293.png	 8+5=?
294.png	 5-2=?
295.png	 1x6=?
296.png	 4+3=?
297.png	 9-4=?
298.png	 2+7=?
299.png	 7x0=?
300.png	 0x9=?
301.png	 8+2=?
302.png	 1-4=?
303.png	 5-2=?
304.png	 4+7=?
305.png	 3+1=?
306.png	 9x4=?
307.png	 7-9=?
308.png	 2x4=?
309.png	 0-6=?
310.png	 0x2=?
311.png	 5+9=?
312.png	 9+9=?
313.png	 7x4=?
314.png	 4-9=?
315.png	 2+5=?
316.png	 8+4=?
317.png	 7x9=?
318.png	 4+3=?
319.png	 2x6=?
320.png	 7-0=?
321.png	 6+6=?
322.png	 1-2=?
323.png	 1-6=?
324.png	 6+1=?
325.png	 2-4=?
326.png	 3+9=?
327.png	 6+4=?
328.png	 3-6=?
329.png	 5+2=?
330.png	 4+1=?
331.png	 6x7=?
332.png	 4+3=?
333.png	 5-6=?
334.png	 5x0=?
335.png	 7-7=?
336.png	 5+6=?
337.png	 5+6=?
338.png	 9-6=?
339.png	 1+9=?
340.png	 9-0=?
341.png	 6x2=?
342.png	 3x2=?
343.png	 5-5=?
344.png	 0+0=?
345.png	 4x2=?
346.png	 2-5=?
347.png	 0x5=?
348.png	 8-6=?
349.png	 3-9=?
350.png	 9+1=?
351.png	 6-6=?
352.png	 3+3=?
353.png	 6-5=?
354.png	 4x5=?
355.png	 5x0=?
356.png	 4+6=?
357.png	 3-4=?
358.png	 9-5=?
359.png	 1+9=?
360.png	 3-7=?
361.png	 1+6=?
362.png	 6x6=?
363.png	 8x6=?
364.png	 2-2=?
365.png	 2+4=?
366.png	 0+9=?
367.png	 6-0=?
368.png	 3-6=?
369.png	 2+6=?
370.png	 5x0=?
371.png	 7+5=?
372.png	 5-5=?
373.png	 0-0=?
374.png	 7+0=?
375.png	 3x3=?
376.png	 3x4=?
377.png	 5+8=?
378.png	 3-9=?
379.png	 8x6=?
380.png	 0x2=?
381.png	 1x4=?
382.png	 2x3=?
383.png	 7+0=?
384.png	 5x6=?
385.png	 9x1=?
386.png	 0+1=?
387.png	 1-8=?
388.png	 2x7=?
389.png	 5-0=?
390.png	 4+0=?
391.png	 1x4=?
392.png	 6-0=?
393.png	 4x9=?
394.png	 2x5=?
395.png	 5+4=?
396.png	 7x2=?
397.png	 7x2=?
398.png	 3x8=?
399.png	 8+7=?
400.png	 1+8=?
401.png	 0x8=?
402.png	 9x2=?
403.png	 5x1=?
404.png	 6+3=?
405.png	 9x5=?
406.png	 4x6=?
407.png	 6+0=?
408.png	 6-2=?
409.png	 3x1=?
410.png	 2x6=?
411.png	 7+2=?
412.png	 9-9=?
413.png	 0x5=?
414.png	 0x2=?
415.png	 9+3=?
416.png	 9+1=?
417.png	 1x5=?
418.png	 1-8=?
419.png	 7x1=?
420.png	 4+2=?
421.png	 1+9=?
422.png	 9+1=?
423.png	 0x4=?
424.png	 4-8=?
425.png	 7x7=?
426.png	 1+9=?
427.png	 8+3=?
428.png	 5-7=?
429.png	 5+1=?
430.png	 8+1=?
431.png	 8-8=?
432.png	 3-1=?
433.png	 6+0=?
434.png	 6+9=?
435.png	 2-8=?
436.png	 7-4=?
437.png	 0x2=?
438.png	 4-9=?
439.png	 8-4=?
440.png	 3x4=?
441.png	 6-8=?
442.png	 1+5=?
443.png	 7+9=?
444.png	 7+6=?
445.png	 3+4=?
446.png	 0x5=?
447.png	 0x7=?
448.png	 6-6=?
449.png	 6x0=?
450.png	 5-4=?
451.png	 8-6=?
452.png	 6-6=?
453.png	 6-8=?
454.png	 2x5=?
455.png	 0x5=?
456.png	 0+9=?
457.png	 8-3=?
458.png	 6x8=?
459.png	 0x0=?
460.png	 1x6=?
461.png	 0-6=?
462.png	 3x6=?
463.png	 4+2=?
464.png	 4+8=?
465.png	 3+1=?
466.png	 2x7=?
467.png	 2-4=?
468.png	 2-3=?
469.png	 3x5=?
470.png	 3+0=?
471.png	 2+3=?
472.png	 1-1=?
473.png	 4-6=?
474.png	 5x0=?
475.png	 4-2=?
476.png	 2+6=?
477.png	 2-5=?
478.png	 6-3=?
479.png	 4+3=?
480.png	 8x7=?
481.png	 7+7=?
482.png	 9-8=?
483.png	 0-7=?
484.png	 6x7=?
485.png	 6+1=?
486.png	 2x9=?
487.png	 7+9=?
488.png	 3-5=?
489.png	 8+1=?
490.png	 1-2=?
491.png	 3x7=?
492.png	 4x0=?
493.png	 0-6=?
494.png	 8-2=?
495.png	 9-5=?
496.png	 2+8=?
497.png	 7x0=?
498.png	 4+2=?
499.png	 5x5=?
500.png	 6+9=?
501.png	 6-8=?
502.png	 0+1=?
503.png	 1-0=?
504.png	 4+0=?
505.png	 8-0=?
506.png	 3x5=?
507.png	 8+8=?
508.png	 1x6=?
509.png	 7+3=?
510.png	 7x4=?
511.png	 8x0=?
512.png	 9x1=?
513.png	 7-0=?
514.png	 1-6=?
515.png	 0x3=?
516.png	 2x7=?
517.png	 4+0=?
518.png	 4+4=?
519.png	 2-0=?
520.png	 8+2=?
521.png	 7x5=?
522.png	 0+7=?
523.png	 1-5=?
524.png	 3+1=?
525.png	 0+4=?
526.png	 5+5=?
527.png	 4+6=?
528.png	 7x9=?
529.png	 4+2=?
530.png	 0-0=?
531.png	 6-5=?
532.png	 8-1=?
533.png	 3-1=?
534.png	 0-0=?
535.png	 4x2=?
536.png	 2-7=?
537.png	 9x5=?
538.png	 9-8=?
539.png	 1x2=?
540.png	 4-8=?
541.png	 7-0=?
542.png	 0-7=?
543.png	 1-8=?
544.png	 7+6=?
545.png	 3x6=?
546.png	 2x7=?
547.png	 4-7=?
548.png	 2-9=?
549.png	 5+9=?
550.png	 3-6=?
551.png	 2x7=?
552.png	 5+2=?
553.png	 2x5=?
554.png	 7-6=?
555.png	 1+4=?
556.png	 1+6=?
557.png	 3x2=?
558.png	 4-4=?
559.png	 9-3=?
560.png	 7-8=?
561.png	 3x3=?
562.png	 3+6=?
563.png	 8-1=?
564.png	 3+7=?
565.png	 6-7=?
566.png	 5-6=?
567.png	 7+9=?
568.png	 7x1=?
569.png	 9x9=?
570.png	 2x2=?
571.png	 3x2=?
572.png	 8+0=?
573.png	 6-4=?
574.png	 3x1=?
575.png	 0x3=?
576.png	 4-3=?
577.png	 2-1=?
578.png	 2x6=?
579.png	 5+7=?
580.png	 5+5=?
581.png	 6-1=?
582.png	 1-2=?
583.png	 1+3=?
584.png	 2x5=?
585.png	 6+4=?
586.png	 0x5=?
587.png	 5-8=?
588.png	 1+0=?
589.png	 2-4=?
590.png	 0+2=?
591.png	 3-5=?
592.png	 4-9=?
593.png	 2-5=?
594.png	 8+9=?
595.png	 3x2=?
596.png	 8x4=?
597.png	 3-5=?
598.png	 6x6=?
599.png	 5-5=?
600.png	 8+0=?
601.png	 0x3=?
602.png	 2-8=?
603.png	 4+1=?
604.png	 0x4=?
605.png	 4+3=?
606.png	 8+1=?
607.png	 6x6=?
608.png	 3+3=?
609.png	 5x6=?
610.png	 8-5=?
611.png	 9x5=?
612.png	 4+4=?
613.png	 4-7=?
614.png	 0-6=?
615.png	 8-2=?
616.png	 6-2=?
617.png	 2-4=?
618.png	 9-4=?
619.png	 0-4=?
620.png	 2+6=?
621.png	 1x2=?
622.png	 3-6=?
623.png	 4-0=?
624.png	 8x2=?
625.png	 5-0=?
626.png	 2-8=?
627.png	 3-5=?
628.png	 6+1=?
629.png	 0+9=?
630.png	 5x0=?
631.png	 0-5=?
632.png	 8+1=?
633.png	 3x3=?
634.png	 4-2=?
635.png	 7-7=?
636.png	 7-5=?
637.png	 7+8=?
638.png	 7x0=?
639.png	 5x6=?
640.png	 7-2=?
641.png	 9-5=?
642.png	 6-2=?
643.png	 5x1=?
644.png	 4x1=?
645.png	 9+8=?
646.png	 8+3=?
647.png	 7-6=?
648.png	 0+4=?
649.png	 6+9=?
650.png	 6+0=?
651.png	 1-6=?
652.png	 9x9=?
653.png	 6+6=?
654.png	 5+2=?
655.png	 3-9=?
656.png	 4x8=?
657.png	 5x0=?
658.png	 8-6=?
659.png	 6-8=?
660.png	 3+1=?
661.png	 0-4=?
662.png	 9-0=?
663.png	 8+8=?
664.png	 7+8=?
665.png	 8+1=?
666.png	 6x6=?
667.png	 0x4=?
668.png	 6x4=?
669.png	 6+5=?
670.png	 7x3=?
671.png	 9+0=?
672.png	 3-3=?
673.png	 8+8=?
674.png	 9-2=?
675.png	 9-4=?
676.png	 9x7=?
677.png	 1+1=?
678.png	 3+3=?
679.png	 1+6=?
680.png	 5x6=?
681.png	 8x6=?
682.png	 6x3=?
683.png	 1-9=?
684.png	 1-1=?
685.png	 6x2=?
686.png	 0+6=?
687.png	 1+9=?
688.png	 0+7=?
689.png	 3+1=?
690.png	 7x6=?
691.png	 0+2=?
692.png	 4x4=?
693.png	 5+2=?
694.png	 6+3=?
695.png	 9-2=?
696.png	 0-7=?
697.png	 2+1=?
698.png	 3x2=?
699.png	 2+8=?
700.png	 6-6=?
701.png	 5x7=?
702.png	 2+2=?
703.png	 8x8=?
704.png	 0+4=?
705.png	 8+2=?
706.png	 9x1=?
707.png	 2+8=?
708.png	 5+5=?
709.png	 8+3=?
710.png	 7-7=?
711.png	 7+8=?
712.png	 5-4=?
713.png	 8-9=?
714.png	 7+2=?
715.png	 4x0=?
716.png	 4x5=?
717.png	 8-3=?
718.png	 3-2=?
719.png	 8-9=?
720.png	 0-4=?
721.png	 8-2=?
722.png	 2+5=?
723.png	 5x1=?
724.png	 2+2=?
725.png	 2+1=?
726.png	 2x1=?
727.png	 1+2=?
728.png	 1-4=?
729.png	 8-5=?
730.png	 1-8=?
731.png	 2-2=?
732.png	 2-7=?
733.png	 2+2=?
734.png	 4-8=?
735.png	 8x0=?
736.png	 0-7=?
737.png	 5-0=?
738.png	 3x6=?
739.png	 3-6=?
740.png	 7-3=?
741.png	 4+5=?
742.png	 4+5=?
743.png	 0-4=?
744.png	 3-4=?
745.png	 6-5=?
746.png	 7x0=?
747.png	 3+3=?
748.png	 1-8=?
749.png	 8+1=?
750.png	 8-6=?
751.png	 2+7=?
752.png	 5+6=?
753.png	 0x7=?
754.png	 5+4=?
755.png	 1x1=?
756.png	 0x8=?
757.png	 6x6=?
758.png	 0-6=?
759.png	 2+2=?
760.png	 3+7=?
761.png	 4+6=?
762.png	 1+7=?
763.png	 4x1=?
764.png	 4-5=?
765.png	 5-5=?
766.png	 8+7=?
767.png	 4x3=?
768.png	 2-1=?
769.png	 8-9=?
770.png	 0+2=?
771.png	 8+6=?
772.png	 6x4=?
773.png	 5x9=?
774.png	 0-1=?
775.png	 3x2=?
776.png	 8x3=?
777.png	 6-1=?
778.png	 9+3=?
779.png	 3+6=?
780.png	 8+9=?
781.png	 2+1=?
782.png	 7x5=?
783.png	 7x9=?
784.png	 6+5=?
785.png	 4x2=?
786.png	 2+4=?
787.png	 9+2=?
788.png	 5x6=?
789.png	 4-6=?
790.png	 0x7=?
791.png	 1-4=?
792.png	 6x1=?
793.png	 1x5=?
794.png	 0+9=?
795.png	 1x1=?
796.png	 2x8=?
797.png	 6x6=?
798.png	 8-6=?
799.png	 3+0=?
800.png	 2x9=?
801.png	 2+8=?
802.png	 8+6=?
803.png	 6-2=?
804.png	 0+6=?
805.png	 9+4=?
806.png	 2+7=?
807.png	 0+7=?
808.png	 7-3=?
809.png	 8-9=?
810.png	 9-6=?
811.png	 3+1=?
812.png	 6x5=?
813.png	 9x4=?
814.png	 8+6=?
815.png	 1-9=?
816.png	 8-6=?
817.png	 3+7=?
818.png	 9+8=?
819.png	 6+9=?
820.png	 2x6=?
821.png	 7-4=?
822.png	 0x8=?
823.png	 9-3=?
824.png	 7x9=?
825.png	 7+1=?
826.png	 6x5=?
827.png	 2+3=?
828.png	 6-9=?
829.png	 7+0=?
830.png	 2-9=?
831.png	 4-9=?
832.png	 5x3=?
833.png	 0+0=?
834.png	 0x0=?
835.png	 9-0=?
836.png	 4-4=?
837.png	 2x9=?
838.png	 1-2=?
839.png	 1x9=?
840.png	 4+4=?
841.png	 8x2=?
842.png	 6-3=?
843.png	 8+8=?
844.png	 1-9=?
845.png	 2+3=?
846.png	 1x9=?
847.png	 4x0=?
848.png	 4x7=?
849.png	 3x7=?
850.png	 4x1=?
851.png	 6+2=?
852.png	 7-8=?
853.png	 6+9=?
854.png	 0x9=?
855.png	 7+3=?
856.png	 8-2=?
857.png	 7+4=?
858.png	 2+8=?
859.png	 8x1=?
860.png	 0+2=?
861.png	 2-9=?
862.png	 7x9=?
863.png	 6+4=?
864.png	 0-5=?
865.png	 3x5=?
866.png	 1-0=?
867.png	 1x1=?
868.png	 2+2=?
869.png	 3-6=?
870.png	 2x8=?
871.png	 6-3=?
872.png	 4+4=?
873.png	 2-7=?
874.png	 2+1=?
875.png	 4+3=?
876.png	 7+4=?
877.png	 5x0=?
878.png	 7x7=?
879.png	 2-7=?
880.png	 2x7=?
881.png	 1-8=?
882.png	 8x8=?
883.png	 4-3=?
884.png	 6+6=?
885.png	 8+1=?
886.png	 3-5=?
887.png	 8-9=?
888.png	 6-1=?
889.png	 5-3=?
890.png	 6+0=?
891.png	 1-7=?
892.png	 9x5=?
893.png	 0+9=?
894.png	 9x1=?
895.png	 5x1=?
896.png	 5x3=?
897.png	 8x1=?
898.png	 7x2=?
899.png	 1+2=?
900.png	 8+0=?
901.png	 4x1=?
902.png	 1-5=?
903.png	 2x8=?
904.png	 5+9=?
905.png	 0+0=?
906.png	 1x0=?
907.png	 2+0=?
908.png	 2+0=?
909.png	 9+5=?
910.png	 2x3=?
911.png	 6-3=?
912.png	 2-1=?
913.png	 2x9=?
914.png	 2+9=?
915.png	 2-7=?
916.png	 7-6=?
917.png	 3-0=?
918.png	 5-9=?
919.png	 6x4=?
920.png	 5x5=?
921.png	 0-3=?
922.png	 8-6=?
923.png	 2+5=?
924.png	 7-0=?
925.png	 7x1=?
926.png	 3+8=?
927.png	 6+8=?
928.png	 1-5=?
929.png	 1+5=?
930.png	 5+0=?
931.png	 1-2=?
932.png	 4-4=?
933.png	 5x8=?
934.png	 0+4=?
935.png	 0-0=?
936.png	 5x9=?
937.png	 0-0=?
938.png	 4+4=?
939.png	 8-0=?
940.png	 9+2=?
941.png	 4+2=?
942.png	 7+3=?
943.png	 2x8=?
944.png	 8x4=?
945.png	 8-9=?
946.png	 4+1=?
947.png	 8+7=?
948.png	 2x1=?
949.png	 2-4=?
950.png	 6-8=?
951.png	 8x4=?
952.png	 0x2=?
953.png	 9-2=?
954.png	 9+3=?
955.png	 4+8=?
956.png	 7x1=?
957.png	 5-3=?
958.png	 0+2=?
959.png	 3-8=?
960.png	 2x9=?
961.png	 5x4=?
962.png	 0+8=?
963.png	 9x8=?
964.png	 6+8=?
965.png	 4x6=?
966.png	 1+5=?
967.png	 7-5=?
968.png	 7x3=?
969.png	 3-8=?
970.png	 6-3=?
971.png	 8-0=?
972.png	 8-6=?
973.png	 1x3=?
974.png	 2-7=?
975.png	 9+9=?
976.png	 3+4=?
977.png	 4+4=?
978.png	 1+2=?
979.png	 8x6=?
980.png	 5+0=?
981.png	 9x2=?
982.png	 4x7=?
983.png	 5-4=?
984.png	 7-0=?
985.png	 7x6=?
986.png	 4-5=?
987.png	 3x5=?
988.png	 3-5=?
989.png	 1+2=?
990.png	 9+0=?
991.png	 7x6=?
992.png	 2x1=?
993.png	 9-1=?
994.png	 7+5=?
995.png	 8+6=?
996.png	 2-1=?
997.png	 5x4=?
998.png	 5+4=?
999.png	 9-3=?
1000.png	 6x8=?
1001.png	 7-7=?
1002.png	 7+6=?
1003.png	 5-9=?
1004.png	 7x0=?
1005.png	 8x5=?
1006.png	 4+4=?
1007.png	 1x3=?
1008.png	 0x5=?
1009.png	 1+2=?
1010.png	 1-9=?
1011.png	 3x7=?
1012.png	 3-4=?
1013.png	 3-1=?
1014.png	 0-9=?
1015.png	 8x3=?
1016.png	 7+6=?
1017.png	 4+3=?
1018.png	 4+4=?
1019.png	 7+3=?
1020.png	 2x8=?
1021.png	 1x7=?
1022.png	 5+9=?
1023.png	 0-9=?
1024.png	 0+5=?
1025.png	 6-2=?
1026.png	 1+0=?
1027.png	 9x3=?
1028.png	 7+3=?
1029.png	 1+3=?
1030.png	 1-7=?
1031.png	 8x7=?
1032.png	 6-1=?
1033.png	 8+4=?
1034.png	 7x3=?
1035.png	 7x8=?
1036.png	 9-6=?
1037.png	 2x0=?
1038.png	 5+0=?
1039.png	 1x4=?
1040.png	 8+6=?
1041.png	 2x2=?
1042.png	 8x4=?
1043.png	 0+5=?
1044.png	 2+2=?
1045.png	 0-4=?
1046.png	 1+6=?
1047.png	 0x2=?
1048.png	 3+7=?
1049.png	 7x6=?
1050.png	 5+8=?
1051.png	 2x0=?
1052.png	 7+8=?
1053.png	 9+7=?
1054.png	 3x2=?
1055.png	 4-4=?
1056.png	 0-4=?
1057.png	 1+6=?
1058.png	 1x0=?
1059.png	 6+0=?
1060.png	 0x5=?
1061.png	 7x9=?
1062.png	 6+4=?
1063.png	 4+1=?
1064.png	 2+0=?
1065.png	 1+7=?
1066.png	 9x4=?
1067.png	 1x9=?
1068.png	 9-8=?
1069.png	 4x0=?
1070.png	 8x7=?
1071.png	 3x4=?
1072.png	 8+7=?
1073.png	 5-7=?
1074.png	 2x4=?
1075.png	 8-3=?
1076.png	 1+2=?
1077.png	 7-2=?
1078.png	 0x7=?
1079.png	 5+6=?
1080.png	 2+6=?
1081.png	 1+2=?
1082.png	 2+6=?
1083.png	 2x6=?
1084.png	 1+5=?
1085.png	 7+4=?
1086.png	 7x6=?
1087.png	 2x7=?
1088.png	 4+3=?
1089.png	 5+3=?
1090.png	 5x3=?
1091.png	 7x4=?
1092.png	 5-5=?
1093.png	 8x4=?
1094.png	 9+1=?
1095.png	 3-3=?
1096.png	 2x7=?
1097.png	 9x6=?
1098.png	 0-7=?
1099.png	 2+1=?
1100.png	 2-7=?
1101.png	 6-6=?
1102.png	 5x5=?
1103.png	 5-2=?
1104.png	 6-5=?
1105.png	 5+5=?
1106.png	 7+5=?
1107.png	 1x7=?
1108.png	 8-8=?
1109.png	 3+7=?
1110.png	 6+8=?
1111.png	 7x4=?
1112.png	 7+3=?
1113.png	 0+9=?
1114.png	 8+3=?
1115.png	 9x4=?
1116.png	 0-1=?
1117.png	 8x2=?
1118.png	 5+3=?
1119.png	 5-9=?
1120.png	 3-2=?
1121.png	 6+0=?
1122.png	 8-2=?
1123.png	 2-3=?
1124.png	 4x2=?
1125.png	 2-5=?
1126.png	 0x1=?
1127.png	 8-3=?
1128.png	 5-0=?
1129.png	 7-1=?
1130.png	 2-1=?
1131.png	 0x2=?
1132.png	 2x1=?
1133.png	 5+3=?
1134.png	 3x4=?
1135.png	 2-8=?
1136.png	 5x5=?
1137.png	 5-6=?
1138.png	 3-6=?
1139.png	 3+2=?
1140.png	 8-4=?
1141.png	 6-6=?
1142.png	 9-5=?
1143.png	 9x9=?
1144.png	 1-5=?
1145.png	 6x6=?
1146.png	 1x8=?
1147.png	 6x3=?
1148.png	 0x1=?
1149.png	 9-4=?
1150.png	 1-6=?
1151.png	 1-2=?
1152.png	 8+5=?
1153.png	 2-3=?
1154.png	 8x9=?
1155.png	 1+0=?
1156.png	 0+9=?
1157.png	 6x7=?
1158.png	 5x9=?
1159.png	 5x0=?
1160.png	 4x8=?
1161.png	 0+5=?
1162.png	 3+6=?
1163.png	 2+6=?
1164.png	 2+8=?
1165.png	 1+6=?
1166.png	 4-8=?
1167.png	 9-5=?
1168.png	 1+0=?
1169.png	 4-1=?
1170.png	 4x4=?
1171.png	 3+5=?
1172.png	 5+6=?
1173.png	 7-4=?
1174.png	 6+3=?
1175.png	 7+7=?
1176.png	 3+9=?
1177.png	 2+9=?
1178.png	 0+3=?
1179.png	 5x3=?
1180.png	 8x1=?
1181.png	 9+8=?
1182.png	 9+9=?
1183.png	 8+0=?
1184.png	 9x1=?
1185.png	 6x2=?
1186.png	 2-6=?
1187.png	 3-2=?
1188.png	 8+2=?
1189.png	 4x4=?
1190.png	 9+9=?
1191.png	 3-4=?
1192.png	 3-6=?
1193.png	 8+3=?
1194.png	 5+7=?
1195.png	 5+7=?
1196.png	 9x7=?
1197.png	 0x0=?
1198.png	 2x5=?
1199.png	 0-5=?
1200.png	 6x6=?
1201.png	 5-7=?
1202.png	 4x4=?
1203.png	 5x7=?
1204.png	 5+7=?
1205.png	 9x3=?
1206.png	 5+0=?
1207.png	 4+9=?
1208.png	 7-3=?
1209.png	 8x6=?
1210.png	 8+3=?
1211.png	 3-2=?
1212.png	 2-4=?
1213.png	 1-7=?
1214.png	 6x5=?
1215.png	 3-1=?
1216.png	 4+8=?
1217.png	 3-1=?
1218.png	 8x6=?
1219.png	 8+4=?
1220.png	 0x2=?
1221.png	 4x2=?
1222.png	 3x2=?
1223.png	 0-5=?
1224.png	 0-8=?
1225.png	 2+9=?
1226.png	 9x8=?
1227.png	 8x9=?
1228.png	 1+6=?
1229.png	 6x0=?
1230.png	 7+2=?
1231.png	 3+0=?
1232.png	 2-0=?
1233.png	 4x5=?
1234.png	 3-4=?
1235.png	 6x8=?
1236.png	 1x3=?
1237.png	 7-4=?
1238.png	 4-2=?
1239.png	 4+6=?
1240.png	 3x2=?
1241.png	 9x3=?
1242.png	 0-7=?
1243.png	 5+1=?
1244.png	 7x6=?
1245.png	 1-1=?
1246.png	 2x6=?
1247.png	 4-5=?
1248.png	 4+9=?
